Age,Beginner,Novice,Intermediate,Advanced,Elite,WR
10,05:55:27,04:59:17,04:17:13,03:45:50,03:22:31,02:25:35
15,05:07:36,04:19:00,03:42:35,03:15:26,02:55:15,02:05:59
20,04:57:01,04:10:05,03:34:56,03:08:42,02:49:13,02:01:39
25,04:57:01,04:10:05,03:34:56,03:08:42,02:49:13,02:01:39
30,04:57:01,04:10:05,03:34:56,03:08:42,02:49:13,02:01:39
35,04:58:40,04:11:28,03:36:07,03:09:45,02:50:09,02:02:19
40,05:06:20,04:17:56,03:41:40,03:14:37,02:54:32,02:05:28
45,05:19:00,04:28:36,03:50:50,03:22:40,03:01:45,02:10:39
50,05:32:54,04:40:18,04:00:54,03:31:30,03:09:40,02:16:21
55,05:48:05,04:53:05,04:11:53,03:41:09,03:18:19,02:22:34
60,06:04:42,05:07:05,04:23:55,03:51:43,03:27:47,02:29:22
65,06:23:00,05:22:29,04:37:09,04:03:20,03:38:12,02:36:52
70,06:43:14,05:39:31,04:51:47,04:16:11,03:49:44,02:45:09
75,07:10:54,06:02:49,05:11:49,04:33:46,04:05:30,02:56:29
80,07:55:36,06:40:28,05:44:10,05:02:10,04:30:58,03:14:48
85,09:07:48,07:41:15,06:36:24,05:48:02,05:12:06,03:44:22
90,11:11:23,09:25:18,08:05:50,07:06:33,06:22:30,04:34:59
